ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
DXB-SOU,DXB,SOU,B,19,Middle East,49,,UAE,UK,2581.560117,2
SOU-SOU,SOU,SOU,B,99,West Bound,49,35,UK,UK,22880.06014,1
SOU-SOU,SOU,SOU,B,99,West Bound,42,,UK,UK,23782.70663,1
SOU-SFO,SOU,SFO,O,24,Panama Canal,31,,UK,USA - West Coast,3190.672246,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,11,,UK,USA - West Coast,3015.912563,2
HKG-DXB,HKG,DXB,O,17,Southeast Asia,60,59,China - Southern,UAE,2839.537291,2
SOU-SOU,SOU,SOU,B,99,West Bound,63,,UK,UK,15364.67722,2
SOU-SOU,SOU,SOU,B,99,West Bound,86,13,UK,UK,16212.86028,2
SOU-SOU,SOU,SOU,S,99,West Bound,25,24,UK,UK,27601.22447,2
SOU-SOU,SOU,SOU,B,99,West Bound,30,,UK,UK,17876.81386,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,49,32,UK,USA - West Coast,2565.891837,2
SOU-SOU,SOU,SOU,I,99,West Bound,98,98,UK,UK,670996.6199,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,81,,China - Southern,UK,6184.366422,2
SOU-SOU,SOU,SOU,B,99,West Bound,53,,UK,UK,14032.14074,2
SOU-SOU,SOU,SOU,B,99,West Bound,51,51,UK,UK,30199.30126,1
SOU-AKL,SOU,AKL,B,40,West Bound,62,17,UK,New Zealand,5923.315373,1
SOU-AKL,SOU,AKL,B,40,West Bound,62,,UK,New Zealand,10019.93085,1
SOU-SOU,SOU,SOU,S,99,West Bound,91,,UK,UK,21879.07349,2
SIN-DXB,SIN,DXB,B,11,Southern Asia,58,,Singapore,UAE,2139.610844,2
SIN-SOU,SIN,SOU,B,30,Southern Asia,78,77,Singapore,UK,5121.498946,2
SOU-SOU,SOU,SOU,B,99,West Bound,49,,UK,UK,12164.63398,2
SOU-SOU,SOU,SOU,I,99,West Bound,50,,UK,UK,11322.91396,2
SOU-SOU,SOU,SOU,B,99,West Bound,37,,UK,UK,18798.56412,2
SOU-SOU,SOU,SOU,B,99,West Bound,37,,UK,UK,13659.37321,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,14,,Australia - New South Wales,China - Southern,1438.571845,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,26,,Australia - New South Wales,China - Southern,2181.202796,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,40,,China - Southern,UK,6311.156791,2
HKG-SOU,HKG,SOU,I,36,Southeast Asia,12,9,China - Southern,UK,5196.976592,2
SOU-SOU,SOU,SOU,B,99,West Bound,88,23,UK,UK,13785.04213,2
SOU-SOU,SOU,SOU,B,99,West Bound,34,34,UK,UK,13616.62905,2
SOU-SOU,SOU,SOU,I,99,West Bound,13,,UK,UK,10598.46662,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,37,35,Australia - New South Wales,Singapore,2834.236078,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,48,,Australia - New South Wales,Singapore,2997.882744,2
SFO-HKG,SFO,HKG,B,39,Australia/NZ,94,,USA - West Coast,China - Southern,5100.010924,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,30,,UK,USA - West Coast,1869.27038,2
DXB-SOU,DXB,SOU,B,19,Middle East,19,,UAE,UK,1508.035936,2
SOU-SYD,SOU,SYD,B,44,West Bound,86,,UK,Australia - New South Wales,6643.171586,2
SYD-SOU,SYD,SOU,O,55,Southeast Asia,37,36,Australia - New South Wales,UK,6383.879844,2
SYD-SOU,SYD,SOU,B,55,Southeast Asia,33,,Australia - New South Wales,UK,9259.540003,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,28,,Australia - New South Wales,UK,5552.800658,2
SOU-SOU,SOU,SOU,B,99,West Bound,62,,UK,UK,17408.68651,2
DXB-SOU,DXB,SOU,O,19,Middle East,81,80,UAE,UK,2158.081486,2
SOU-SOU,SOU,SOU,B,99,West Bound,41,,UK,UK,17062.78326,2
SOU-BNE,SOU,BNE,B,47,West Bound,59,,UK,Australia - Queensland,7059.663761,2
AKL-SYD,AKL,SYD,I,4,New Zealand,18,,New Zealand,Australia - New South Wales,284.3625641,2
AKL-SYD,AKL,SYD,B,4,New Zealand,10,9,New Zealand,Australia - New South Wales,998.5465506,1
SOU-SOU,SOU,SOU,B,99,West Bound,37,,UK,UK,26666.75769,1
DXB-SOU,DXB,SOU,B,19,Middle East,24,,UAE,UK,3177.768402,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,39,,UK,USA - West Coast,2671.821606,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,37,,UK,USA - West Coast,2948.358264,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,36,,UK,USA - West Coast,2057.889977,2
SOU-SYD,SOU,SYD,B,44,West Bound,41,41,UK,Australia - New South Wales,5517.205238,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,23,,Australia - New South Wales,Australia - Queensland,344.0718203,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,39,39,Australia - New South Wales,China - Southern,2301.559541,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,1,UK,USA - West Coast,2086.175197,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,34,,UK,USA - West Coast,4150.402478,2
